step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,729,1,0.060084870848014005,0.0,0.0,0.04931012342182139,0.0,0.0,,,,,,
2,1666,2,0.04648009640422496,0.0,0.0,,,,,,,,,
3,2651,3,0.03843571806989332,0.0,0.0,,,,,,,,,
4,3692,4,0.028686373647535783,0.0,0.5,,,,,,,,,
5,4637,5,0.020973116774680577,0.0,0.5,,,,,,,,,
6,5286,6,0.017786290195154708,1.0,1.0,,,,,,,,,
7,6271,7,0.015248896405112117,1.0,1.0,,,,,,,,,
8,7152,8,0.0467464409862963,0.0,0.0,,,,,,,,,
9,7769,9,0.016374539652761914,1.0,1.0,0.016557395195227507,1.0,1.0,,,,,,
10,8826,10,0.016363529838876702,1.0,1.0,,,,,,,,,
11,9571,11,0.017811164969878775,1.0,1.0,,,,,,,,,
12,10580,12,0.014196384502674277,1.0,1.0,,,,,,,,,
13,11949,13,0.035398047490443216,0.0,0.0,,,,,,,,,
14,12894,14,0.03391394831970193,0.0,0.0,,,,,,,,,
15,14119,15,0.03341608808451776,0.0,0.0,,,,,,,,,
16,15040,16,0.015282196427068457,0.0,0.5,,,,,,,,,
17,15841,17,0.029135790547546482,1.0,1.0,0.020400883474712722,0.0,0.5,,,,,,
18,16546,18,0.020839927854795767,0.0,0.5,,,,,,,,,
19,17179,19,0.019971460749602214,1.0,1.0,,,,,,,,,
20,17812,20,0.016622677115027486,1.0,1.0,,,,,,,,,
21,18509,21,0.02029862088864686,1.0,1.0,,,,,,,,,
22,19302,22,0.018815622302222026,1.0,1.0,,,,,,,,,
23,20495,23,0.011411173372880116,1.0,1.0,,,,,,,,,
24,21432,24,0.013920476583639084,1.0,1.0,,,,,,,,,
25,22145,25,0.040814431956946645,0.0,0.0,0.017605347547328027,0.0,0.5,,,,,,
26,22906,26,0.03229187396932076,0.0,0.0,,,,,,,,,
27,23491,27,0.029925330331113387,0.0,0.5,,,,,,,,,
28,24204,28,0.026868247612992387,1.0,1.0,,,,,,,,,
29,25437,29,0.027436881605298457,1.0,1.0,,,,,,,,,
