step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,585,1,0.07133405486451122,0.0,0.0,0.055746067917906005,0.0,0.0,,,,,,
2,1570,2,0.051142236412304094,0.0,0.0,,,,,,,,,
3,2467,3,0.044245076154283136,0.0,0.0,,,,,,,,,
4,3348,4,0.0482286076769614,0.0,0.0,,,,,,,,,
5,4453,5,0.02804447111827974,0.0,0.0,,,,,,,,,
6,5158,6,0.026824859940807078,0.0,0.0,,,,,,,,,
7,6167,7,0.03414432046254878,0.0,0.0,,,,,,,,,
8,6976,8,0.020825870039333786,0.0,0.5,,,,,,,,,
9,8017,9,0.014086849665584501,0.0,0.5,0.016548512230638152,1.0,1.0,,,,,,
10,8770,10,0.020383983232715494,1.0,1.0,,,,,,,,,
11,9555,11,0.01734680775383692,1.0,1.0,,,,,,,,,
12,10556,12,0.020690156168390678,1.0,1.0,,,,,,,,,
13,11357,13,0.03868352372206814,0.0,0.0,,,,,,,,,
14,11990,14,0.02057688626218492,1.0,1.0,,,,,,,,,
15,12831,15,0.01609092505784493,1.0,1.0,,,,,,,,,
16,13672,16,0.030035104968356055,0.0,0.0,,,,,,,,,
17,14817,17,0.03125639659490641,1.0,1.0,0.01846632924208039,0.0,0.5,,,,,,
18,15762,18,0.0129822552885581,0.0,0.5,,,,,,,,,
19,16619,19,0.01713636783410391,1.0,1.0,,,,,,,,,
20,17276,20,0.018475431946837446,1.0,1.0,,,,,,,,,
21,18037,21,0.026322679398461717,1.0,1.0,,,,,,,,,
22,18718,22,0.017963343140060553,1.0,1.0,,,,,,,,,
23,19391,23,0.013975074614717026,1.0,1.0,,,,,,,,,
24,20144,24,0.015513322021339709,1.0,1.0,,,,,,,,,
25,21385,25,0.016462843863463462,1.0,1.0,0.018608434238801857,1.0,1.0,,,,,,
26,22346,26,0.01680611977859193,1.0,1.0,,,,,,,,,
27,23051,27,0.02110062375454101,1.0,1.0,,,,,,,,,
28,24340,28,0.0355885181989812,0.0,0.0,,,,,,,,,
29,25189,29,0.017440176964791314,1.0,1.0,,,,,,,,,
30,25878,30,0.016829058669072687,1.0,1.0,,,,,,,,,
31,26583,31,0.017700364499283413,1.0,1.0,,,,,,,,,
32,27544,32,0.018274777818442355,1.0,1.0,,,,,,,,,
33,28729,33,0.028964980610664572,0.0,0.0,0.03175334487980807,0.0,0.0,,,,,,
34,29618,34,0.015262217632862674,1.0,1.0,,,,,,,,,
35,30875,35,0.02734012330963495,0.0,0.0,,,,,,,,,
36,31852,36,0.015972283199204892,1.0,1.0,,,,,,,,,
37,32781,37,0.03378928440438538,1.0,1.0,,,,,,,,,
38,33606,38,0.02618683584101028,1.0,1.0,,,,,,,,,
39,34343,39,0.014535625875254823,0.0,0.5,,,,,,,,,
40,35232,40,0.015283631713838418,1.0,1.0,,,,,,,,,
41,36321,41,0.01564089402895305,1.0,1.0,0.027211700660640627,0.0,0.0,,,,,,
42,37202,42,0.015073404625523363,1.0,1.0,,,,,,,,,
43,38035,43,0.013144778341339189,1.0,1.0,,,,,,,,,
44,38804,44,0.02824144077776642,0.0,0.0,,,,,,,,,
45,39637,45,0.0164131921934635,1.0,1.0,,,,,,,,,
46,40622,46,0.014514002109898845,1.0,1.0,,,,,,,,,
47,42159,47,0.02308906563650634,0.0,0.0,,,,,,,,,
48,43704,48,0.025055611204843297,1.0,1.0,,,,,,,,,
49,44233,49,0.013107598328403454,1.0,1.0,0.015634628597805903,1.0,1.0,,,,,,
50,45010,50,0.01369602758134932,1.0,1.0,,,,,,,,,
51,45995,51,0.03080699767548325,1.0,1.0,,,,,,,,,
52,46644,52,0.01710704562594109,1.0,1.0,,,,,,,,,
53,47621,53,0.01441329269368982,1.0,1.0,,,,,,,,,
54,48390,54,0.02499755489030638,1.0,1.0,,,,,,,,,
55,49671,55,0.025041101704117892,1.0,1.0,,,,,,,,,
56,50432,56,0.012246528048196497,1.0,1.0,,,,,,,,,
57,51473,57,0.017782381845909526,1.0,1.0,0.023228750768795478,1.0,1.0,,,,,,
58,52218,58,0.015947088336300774,1.0,1.0,,,,,,,,,
59,53643,59,0.026827083227102665,1.0,1.0,,,,,,,,,
60,54356,60,0.014679583036753551,1.0,1.0,,,,,,,,,
61,55005,61,0.018676202869395864,1.0,1.0,,,,,,,,,
62,55734,62,0.017802039514536867,1.0,1.0,,,,,,,,,
63,57047,63,0.0409237989528732,0.0,0.0,,,,,,,,,
64,57680,64,0.015929735939184245,1.0,1.0,,,,,,,,,
65,58657,65,0.017467596849461288,1.0,1.0,0.03041769532110575,0.0,0.0,,,,,,
66,59874,66,0.02848982685650248,1.0,1.0,,,,,,,,,
67,60883,67,0.016826774292688758,1.0,1.0,,,,,,,,,
68,61724,68,0.01933762428192513,1.0,1.0,,,,,,,,,
69,62765,69,0.022937121367672005,1.0,1.0,,,,,,,,,
70,64022,70,0.02749325884434338,1.0,1.0,,,,,,,,,
71,64791,71,0.016736460029815277,1.0,1.0,,,,,,,,,
72,65824,72,0.031226849887856793,1.0,1.0,,,,,,,,,
