step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,161,1,0.11243911998728436,0.0,0.0,0.08375436640683916,0.0,0.0,,,,,,
2,474,2,0.08127733499651768,0.0,0.0,,,,,,,,,
3,923,3,0.05531999867478069,0.0,0.0,,,,,,,,,
4,2876,4,0.03349340722100962,0.0,0.0,,,,,,,,,
5,3077,5,0.05984688303780276,0.0,0.0,,,,,,,,,
6,3406,6,0.044508672194617876,0.0,0.0,,,,,,,,,
7,3791,7,0.03534006904509776,0.0,0.0,,,,,,,,,
8,4008,8,0.03177333931060275,1.0,1.0,,,,,,,,,
9,4777,9,0.03751618027873822,1.0,1.0,0.03900906480123349,1.0,1.0,,,,,,
10,5058,10,0.03302468245993285,1.0,1.0,,,,,,,,,
11,5379,11,0.03511751377373708,1.0,1.0,,,,,,,,,
12,6332,12,0.029684264474992783,1.0,1.0,,,,,,,,,
13,6749,13,0.029349085524662984,1.0,1.0,,,,,,,,,
14,6918,14,0.02805945200653306,1.0,1.0,,,,,,,,,
15,7279,15,0.029494859570422655,1.0,1.0,,,,,,,,,
16,7760,16,0.02820055336000405,1.0,1.0,,,,,,,,,
17,8025,17,0.03455505739569135,1.0,1.0,0.030726718545767657,1.0,1.0,,,,,,
18,8450,18,0.030463567430407273,1.0,1.0,,,,,,,,,
19,8755,19,0.030761616058867746,0.0,0.0,,,,,,,,,
20,9260,20,0.029879863574809904,1.0,1.0,,,,,,,,,
21,9341,21,0.04764255626231898,1.0,1.0,,,,,,,,,
22,9958,22,0.02647941223761242,1.0,1.0,,,,,,,,,
23,10663,23,0.03133704397061758,1.0,1.0,,,,,,,,,
24,10792,24,0.03419083386353236,1.0,1.0,,,,,,,,,
25,11305,25,0.035495869090642465,1.0,1.0,0.030500672253515236,1.0,1.0,,,,,,
26,11530,26,0.027037077285047936,1.0,1.0,,,,,,,,,
27,11899,27,0.035560120114772394,1.0,1.0,,,,,,,,,
28,12604,28,0.03064527635481888,1.0,1.0,,,,,,,,,
29,12773,29,0.029989736343760294,1.0,1.0,,,,,,,,,
30,13198,30,0.03147911730075321,1.0,1.0,,,,,,,,,
31,13287,31,0.029461603135932823,1.0,1.0,,,,,,,,,
32,13568,32,0.026764916017726396,1.0,1.0,,,,,,,,,
33,13865,33,0.0289398143013288,1.0,1.0,0.021447319528016456,1.0,1.0,,,,,,
34,14514,34,0.028295601337926603,1.0,1.0,,,,,,,,,
35,14907,35,0.03408357811866599,1.0,1.0,,,,,,,,,
36,15180,36,0.02897931692062069,1.0,1.0,,,,,,,,,
37,15333,37,0.02900414380675341,1.0,1.0,,,,,,,,,
38,15646,38,0.030445895826467163,1.0,1.0,,,,,,,,,
39,15903,39,0.034575678740545755,1.0,1.0,,,,,,,,,
40,16104,40,0.03514180666229222,0.0,0.0,,,,,,,,,
41,16313,41,0.025343118311943375,1.0,1.0,0.03771927745307334,0.0,0.0,,,,,,
42,16610,42,0.030736789621941343,1.0,1.0,,,,,,,,,
43,16995,43,0.027344963584025377,1.0,1.0,,,,,,,,,
44,17508,44,0.03485348132529864,0.0,0.0,,,,,,,,,
45,18157,45,0.027344461896826728,1.0,1.0,,,,,,,,,
46,18678,46,0.032872549248584765,0.0,0.0,,,,,,,,,
47,18799,47,0.03430833741796838,1.0,1.0,,,,,,,,,
