step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,657,1,0.0618779221246317,0.0,0.0,0.058926941577712284,0.0,0.0,,
2,1234,2,0.057790386905856195,0.0,0.0,,,,,
3,2115,3,0.03807155662990689,0.0,0.0,,,,,
4,3100,4,0.032384760445965256,0.0,0.0,,,,,
5,3909,5,0.02692564927211057,0.0,0.0,,,,,
6,4910,6,0.02679892871780161,0.0,0.0,,,,,
7,5943,7,0.025570987724481853,0.0,0.3333333333333333,,,,,
8,6776,8,0.022655719912361205,0.0,0.6666666666666666,,,,,
9,7505,9,0.019221281885893605,0.0,0.6666666666666666,0.014852846921251196,1.0,1.0,,
10,8450,10,0.01916545627489741,0.0,0.0,,,,,
11,9571,11,0.018960685081977235,0.0,0.0,,,,,
12,10500,12,0.015551801732398698,0.0,0.6666666666666666,,,,,
13,11293,13,0.026227871903996714,0.0,0.6666666666666666,,,,,
14,12334,14,0.016391770141810973,1.0,1.0,,,,,
15,13007,15,0.01873069844531572,1.0,1.0,,,,,
16,13976,16,0.017093541040359008,1.0,1.0,,,,,
17,14697,17,0.02062788270641896,0.0,0.0,0.016888735609120336,0.0,0.6666666666666666,,
18,15858,18,0.024259823079174535,0.0,0.6666666666666666,,,,,
19,16811,19,0.012310427599684601,1.0,1.0,,,,,
20,17516,20,0.02298837423219776,0.0,0.6666666666666666,,,,,
21,18173,21,0.019124047356246714,0.0,0.6666666666666666,,,,,
22,18862,22,0.021351422663870034,0.0,0.6666666666666666,,,,,
23,19463,23,0.020527917487933887,0.0,0.6666666666666666,,,,,
24,20440,24,0.026802401407097578,0.0,0.0,,,,,
25,21273,25,0.0184443611987817,0.0,0.6666666666666666,0.0211918152117325,0.0,0.6666666666666666,,
26,22234,26,0.025305864976884022,0.0,0.0,,,,,
27,23067,27,0.015064959455627148,1.0,1.0,,,,,
28,23900,28,0.014514829249629569,1.0,1.0,,,,,
29,24597,29,0.018120407435615042,0.0,0.6666666666666666,,,,,
30,25438,30,0.02208337290920921,0.0,0.0,,,,,
31,26327,31,0.01486409000585686,1.0,1.0,,,,,
32,27128,32,0.019084256251269107,1.0,1.0,,,,,
33,28033,33,0.02041138621909871,0.0,0.6666666666666666,0.02193063908178471,0.0,0.6666666666666666,,
34,29274,34,0.016950378115966076,0.0,0.6666666666666666,,,,,
35,30395,35,0.015347728017889788,0.0,0.0,,,,,
36,31084,36,0.017662840323998914,1.0,1.0,,,,,
37,32077,37,0.015016151686583153,1.0,1.0,,,,,
38,33046,38,0.016518070717447417,1.0,1.0,,,,,
39,34143,39,0.01644092177952566,0.0,0.0,,,,,
40,35032,40,0.020587284650466185,0.0,0.6666666666666666,,,,,
41,35761,41,0.014780803538865607,0.0,0.0,0.02034222763520518,0.0,0.6666666666666666,,
42,36802,42,0.011596459558462812,0.0,0.6666666666666666,,,,,
43,37547,43,0.02017025903194452,0.0,0.6666666666666666,,,,,
44,38340,44,0.0187246223298809,0.0,0.6666666666666666,,,,,
45,39029,45,0.022144289806924938,1.0,1.0,,,,,
46,40230,46,0.017724872006820148,0.0,0.0,,,,,
47,41023,47,0.01420867119817025,0.0,0.6666666666666666,,,,,
48,41864,48,0.016128757827783592,1.0,1.0,,,,,
49,42697,49,0.016925720720890738,0.0,0.6666666666666666,0.017248316663132767,0.0,0.0,,
50,43306,50,0.016918141546952654,1.0,1.0,,,,,
51,43851,51,0.01579602088327112,1.0,1.0,,,,,
52,44540,52,0.024814671103932942,0.0,0.0,,,,,
53,45317,53,0.01358996157326861,1.0,1.0,,,,,
54,46014,54,0.023391813479706168,0.0,0.0,,,,,
55,46767,55,0.01592334044443889,1.0,1.0,,,,,
56,47552,56,0.02259107698724997,0.0,0.6666666666666666,,,,,
57,48265,57,0.025563404948493216,0.0,0.6666666666666666,0.01981230631151543,0.0,0.6666666666666666,,
58,48962,58,0.016970703254439872,1.0,1.0,,,,,
59,49907,59,0.015676359280975504,1.0,1.0,,,,,
60,50700,60,0.022466949067570963,0.0,0.6666666666666666,,,,,
61,51637,61,0.017589750557478114,1.0,1.0,,,,,
62,52630,62,0.017753328843618688,1.0,1.0,,,,,
63,53471,63,0.015831916019454998,0.0,0.0,,,,,
64,54328,64,0.017089415339133458,0.0,0.6666666666666666,,,,,
65,55025,65,0.017047873538467477,0.0,0.6666666666666666,0.017777543564662008,0.0,0.0,,
66,55586,66,0.018844004214532233,0.0,0.6666666666666666,,,,,
67,56267,67,0.019097362183953113,0.0,0.6666666666666666,,,,,
68,56908,68,0.017471167252202578,1.0,1.0,,,,,
69,57781,69,0.013194954928091952,1.0,1.0,,,,,
70,58454,70,0.01908795573779786,0.0,0.6666666666666666,,,,,
71,59607,71,0.01933302721728661,0.0,0.6666666666666666,,,,,
72,60584,72,0.019325423245039795,1.0,1.0,,,,,
73,61545,73,0.02265403873809544,0.0,0.0,0.017691295916812944,1.0,1.0,,
74,62450,74,0.018369903205248592,0.0,0.0,,,,,
75,63227,75,0.01798591218061157,0.0,0.0,,,,,
76,64204,76,0.016081379266967656,0.0,0.6666666666666666,,,,,
