step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,1025,1,0.03994859959128169,0.0,0.0,0.06267635747035102,0.0,0.0,,
2,2018,2,0.03819481994336568,0.0,0.0,,,,,
3,3019,3,0.03958240259595089,0.0,0.0,,,,,
4,4124,4,0.03172306719380696,0.0,0.0,,,,,
5,4981,5,0.04315898636129255,0.0,0.0,,,,,
6,5710,6,0.03180156640511084,0.0,0.0,,,,,
7,6631,7,0.026501811935597405,0.0,0.0,,,,,
8,7600,8,0.019013172035036156,0.0,0.0,,,,,
9,8433,9,0.02975125043978131,0.0,0.0,0.017785846756672195,1.0,1.0,,
10,9498,10,0.020152231114435443,0.0,0.3333333333333333,,,,,
11,10203,11,0.02366607140858161,0.0,0.3333333333333333,,,,,
12,11036,12,0.018332929145632594,0.0,0.6666666666666666,,,,,
13,12093,13,0.016018165699966103,0.0,0.6666666666666666,,,,,
14,13190,14,0.01742126896048965,0.0,0.0,,,,,
15,14079,15,0.01455985999528712,0.0,0.6666666666666666,,,,,
16,14744,16,0.015581423897990783,0.0,0.6666666666666666,,,,,
17,15585,17,0.016308300123820764,0.0,0.6666666666666666,0.015070863755124668,0.0,0.0,,
18,16498,18,0.014900163354209324,1.0,1.0,,,,,
19,17563,19,0.019421903252827475,0.0,0.0,,,,,
20,18412,20,0.014677501801345227,1.0,1.0,,,,,
21,19061,21,0.01920357407765961,0.0,0.6666666666666666,,,,,
22,19774,22,0.020627650346200527,0.0,0.6666666666666666,,,,,
23,20615,23,0.016400531256404775,0.0,0.6666666666666666,,,,,
24,21400,24,0.018990334475493392,0.0,0.6666666666666666,,,,,
25,22273,25,0.011517080305741464,1.0,1.0,0.01571946625825114,0.0,0.6666666666666666,,
26,23066,26,0.018037326460217537,0.0,0.6666666666666666,,,,,
27,23699,27,0.016915338187976473,0.0,0.6666666666666666,,,,,
28,24532,28,0.012473276468585589,0.0,0.6666666666666666,,,,,
29,25173,29,0.014252358817329664,0.0,0.6666666666666666,,,,,
30,25702,30,0.014640352942733652,1.0,1.0,,,,,
31,26599,31,0.01081382524079422,1.0,1.0,,,,,
32,27272,32,0.022002739815960966,0.0,0.0,,,,,
33,28393,33,0.018340150013145436,0.0,0.0,0.014441103266503205,0.0,0.6666666666666666,,
34,29074,34,0.01157171752290702,1.0,1.0,,,,,
35,29963,35,0.015930998156102574,0.0,0.6666666666666666,,,,,
36,30732,36,0.012699460564324689,1.0,1.0,,,,,
37,31453,37,0.019503222336468853,0.0,0.0,,,,,
38,32390,38,0.014003092695545996,1.0,1.0,,,,,
39,33335,39,0.0087290137023013,0.0,0.6666666666666666,,,,,
40,34168,40,0.015034757792007747,0.0,0.6666666666666666,,,,,
41,35369,41,0.014171298037416917,1.0,1.0,0.01421594477836714,1.0,1.0,,
42,36266,42,0.011628395389196702,1.0,1.0,,,,,
43,37211,43,0.012203398290313259,1.0,1.0,,,,,
44,38100,44,0.011412653748562021,1.0,1.0,,,,,
45,38829,45,0.014102757374066334,0.0,0.0,,,,,
46,39558,46,0.014201514174625663,1.0,1.0,,,,,
47,40511,47,0.015146310591400555,0.0,0.6666666666666666,,,,,
48,41184,48,0.016526927044708456,0.0,0.6666666666666666,,,,,
49,41857,49,0.013893143533202661,1.0,1.0,0.021085309266512687,0.0,0.6666666666666666,,
50,42562,50,0.014464886027190255,1.0,1.0,,,,,
51,43259,51,0.01218486173404523,1.0,1.0,,,,,
52,44092,52,0.015626987431306794,0.0,0.6666666666666666,,,,,
53,45293,53,0.018711341442492462,0.0,0.6666666666666666,,,,,
54,46294,54,0.014188843168668122,0.0,0.6666666666666666,,,,,
55,46983,55,0.022271061009326142,0.0,0.0,,,,,
